dimension,avg_Encrypt_Time,avg_Decrypt_Time_Good,avg_Success_Good,avg_Decrypt_Time_Bad,avg_Success_Bad
2,0.0004251491069793701,3.4615230560302736e-05,100.0,0.0015701323986053468,100.0
3,0.00030072016716003417,3.273658752441406e-05,100.0,0.0012586080551147461,100.0
4,0.00023448209762573242,3.088827133178711e-05,100.0,0.0010960378646850586,100.0
5,0.00020075674057006836,3.1017827987670896e-05,100.0,0.0008644041061401368,100.0
6,0.00017604126930236816,3.091297149658203e-05,100.0,0.001046006965637207,100.0
7,0.00015968847274780274,3.0343961715698242e-05,100.0,0.0010670162677764892,100.0
8,0.00014379477500915528,2.973198890686035e-05,100.0,0.001090226459503174,99.96
9,-3.907756805419922e-05,3.0702733993530274e-05,100.0,0.0012151751518249512,99.88
10,0.0001266533374786377,2.9567480087280274e-05,100.0,0.0013466061115264892,95.18
11,0.00012433619499206542,3.0944728851318357e-05,100.0,0.0017809704303741456,70.5016
12,0.00011559309959411621,3.0039453506469728e-05,100.0,0.002133007478713989,29.0416
13,0.00011247367858886719,3.036808967590332e-05,100.0,0.0023004795551300047,5.06
14,0.00010823769569396973,3.0447673797607422e-05,100.0,0.0023773049831390383,0.26
15,0.00010551495552062988,3.014793395996094e-05,100.0,0.002308868932723999,0.02
16,0.00010088763236999511,3.0005598068237304e-05,100.0,0.002805577802658081,0.0
17,9.682455062866211e-05,2.95440673828125e-05,100.0,0.002776617240905762,0.0
18,9.934515953063965e-05,3.138728141784668e-05,100.0,0.0030305737018585205,0.0
19,9.402551651000977e-05,3.0107307434082032e-05,100.0,0.0032024353981018067,0.0
20,8.872942924499512e-05,2.8952836990356445e-05,100.0,0.0034929835319519043,0.0
21,9.02613639831543e-05,3.002324104309082e-05,100.0,0.004184729385375977,0.0
22,9.2926025390625e-05,3.15220832824707e-05,100.0,0.004683654022216797,0.0
23,8.485956192016602e-05,2.9085493087768553e-05,100.0,0.005168281650543213,0.0
24,9.19560432434082e-05,3.14633846282959e-05,100.0,0.005624610948562622,0.0
25,8.055124282836914e-05,2.8437280654907228e-05,100.0,0.00538899245262146,0.0
26,8.479671478271485e-05,2.9956912994384764e-05,100.0,0.006118545055389404,0.0
27,8.549251556396484e-05,3.0631637573242186e-05,100.0,0.006473321151733398,0.0
28,8.750405311584472e-05,3.202323913574219e-05,100.0,0.0071482570648193355,0.0
29,7.925686836242675e-05,2.8781890869140625e-05,100.0,0.006952041864395141,0.0
30,8.119511604309082e-05,2.9872703552246092e-05,100.0,0.007704956531524658,0.0
31,8.227362632751465e-05,3.053793907165527e-05,100.0,0.008222886371612548,0.0
