Bit_Length,Modulus_n,Prime_p,Prime_q,Encryption_Time,Legit_Decryption_Time,Forced_Decryption_Time
16,33221,139,239,2.8848648071289062e-05,2.47955322265625e-05,0.1436619758605957
32,2141083829,39133,54713,5.5789947509765625e-05,9.274482727050781e-05,0.14831972122192383
48,176650756423061,11890787,14856103,4.38690185546875e-05,0.0001556873321533203,0.14574265480041504
64,7619989156038723179,3516904177,2166675227,7.939338684082031e-05,0.00033020973205566406,0.15197420120239258
80,565888817859616110867533,747907220491,756629702663,5.650520324707031e-05,0.00035572052001953125,0.1597137451171875
96,46309647716904168395924896301,185635957511761,249464857658141,6.008148193359375e-05,0.0004930496215820312,0.6068775653839111
112,2655003884689806374190445432759627,40276597931072383,65919268783164469,5.9604644775390625e-05,0.0005931854248046875,0.6114194393157959
128,129364718907292855274390496675692816263,13517419846499644253,9570222747856133171,6.723403930664062e-05,0.0007414817810058594,0.6681773662567139
144,12793620198405699415532619068506779616264529,3087264543842490038969,4143998681267017617241,0.0001571178436279297,0.0009186267852783203,0.7714953422546387
160,697327015412541530735441626271847201769933548283,615613800856937553039407,1132734539807032860455669,7.224082946777344e-05,0.0010647773742675781,1.0301644802093506
176,35527141581912976770878242418862496485157980778620413,198304997572320223567573499,179154040578107551239274087,7.343292236328125e-05,0.0010938644409179688,1.4363856315612793
192,2584549720829117942801368820847263961743404520308629388717,51447919698448916326708663853,50236233767621872275740898689,9.655952453613281e-05,0.0016949176788330078,2.224456310272217
208,359458172776053807658855220688709725501097450224827504227685827,20163392656977984354433268204257,17827266417472429745865162527011,0.00010633468627929688,0.0018863677978515625,5.3918657302856445
